Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.3,39537442,17,2325731.9,880422.0,349622,13991128,4256297.5,cuLibraryLoadData
31.0,21751526,3,7250508.7,7068854.0,35076,14647596,7307953.5,cudaLaunchKernel
3.6,2531096,6,421849.3,420914.5,4373,836411,266281.2,cudaMalloc
1.9,1312650,6,218775.0,31939.5,12358,834224,335002.4,cudaMemcpyAsync
1.7,1169112,1,1169112.0,1169112.0,1169112,1169112,0.0,cuKernelGetFunction
1.4,989265,18,54959.2,570.0,380,361218,125625.3,cuLibraryGetKernel
1.2,860177,880,977.5,95.0,0,446104,17867.1,cuGetProcAddress_v2
1.2,822626,9,91402.9,1806.0,665,806087,268009.1,cudaStreamIsCapturing_v10000
0.5,377473,1,377473.0,377473.0,377473,377473,0.0,cuLaunchKernel
0.5,349431,1,349431.0,349431.0,349431,349431,0.0,cudaFree
0.5,317490,18,17638.3,285.0,190,311123,73245.0,cudaEventCreateWithFlags
0.2,156751,6,26125.2,23146.5,5228,59031,17824.5,cudaStreamSynchronize
0.0,6370,4,1592.5,1568.5,1236,1997,314.3,cuInit
0.0,3707,3,1235.7,95.0,95,3517,1975.7,cuModuleGetLoadingMode
0.0,1995,3,665.0,570.0,475,950,251.3,cuKernelGetName
0.0,1806,1,1806.0,1806.0,1806,1806,0.0,cudaStreamGetCaptureInfo_v3_v12030
0.0,1805,3,601.7,380.0,285,1140,468.6,cudaGetDriverEntryPointByVersion_v12050
0.0,1141,1,1141.0,1141.0,1141,1141,0.0,cudaMemsetAsync
