Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.6,165958650,13,12766050.0,11129726.0,1149179,44691141,11725992.2,cuLibraryLoadData
22.0,75294314,52,1447967.6,16766.5,8457,29817131,5348028.1,cudaLaunchKernel
15.9,54491094,11,4953735.8,14482.0,10206,46023734,13809798.3,cudaLaunchKernelExC_v11060
3.2,11015081,125,88120.6,14284.0,9523,2612022,306350.3,cudaMemcpyAsync
2.4,8086047,22,367547.6,93213.0,81938,6020773,1262784.8,cuModuleLoad
2.3,7802779,16,487673.7,514763.5,2527,980734,287892.9,cudaMalloc
1.6,5351069,19,281635.2,20696.0,11466,3899178,888987.1,cuLibraryUnload
1.4,4912337,125,39298.7,20793.0,2041,413440,42529.4,cudaStreamSynchronize
0.7,2263853,13,174142.5,875.0,486,550338,211414.0,cuLibraryGetKernel
0.4,1374202,1814,757.6,98.0,0,464512,14801.4,cuGetProcAddress_v2
0.4,1239574,1,1239574.0,1239574.0,1239574,1239574,0.0,cudaHostAlloc
0.3,1139459,36,31651.6,17690.0,8845,312883,52416.2,cuLaunchKernel
0.3,960225,2,480112.5,480112.5,366730,593495,160347.1,cudaFree
0.3,954591,136,7019.1,680.5,388,837957,71782.9,cudaStreamIsCapturing_v10000
0.1,454986,3,151662.0,188468.0,11372,255146,125985.9,cudaMemsetAsync
0.1,285966,22,12998.5,7190.5,4762,73265,16266.0,cuModuleUnload
0.0,34699,19,1826.3,389.0,291,20801,4666.9,cudaEventCreateWithFlags
0.0,28089,16,1755.6,681.0,583,11956,2907.7,cudaStreamCreateWithFlags
0.0,17202,50,344.0,195.0,97,1458,288.8,cuKernelGetName
0.0,13024,6,2170.7,2089.5,1944,2527,250.9,cuInit
0.0,8064,6,1344.0,195.0,97,3789,1819.8,cuModuleGetLoadingMode
0.0,6582,3,2194.0,2403.0,291,3888,1807.6,cudaStreamGetCaptureInfo_v3_v12030
0.0,1943,3,647.7,291.0,194,1458,703.4,cudaGetDriverEntryPointByVersion_v12050
