Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.1,2497694171,31,80570779.7,100134968.0,1069,100183653,36174673.6,poll
27.1,1145132103,1157,989742.5,1001495.0,2138,4785568,581070.1,open64
10.5,442204401,2125,208096.2,137575.0,1068,2539394,168019.4,read
2.6,110430593,1139,96954.0,2916.0,1068,12945016,584152.8,ioctl
0.3,13576325,4,3394081.3,432168.5,140808,12571180,6120029.8,fread
0.1,5795935,800,7244.9,6024.0,4663,58877,4019.1,munmap
0.1,2814017,855,3291.2,2526.0,1748,65970,3201.9,mmap64
0.0,1715739,5,343147.8,153829.0,136144,708607,279027.4,sem_timedwait
0.0,1471668,7,210238.3,6995.0,2236,726699,349737.1,fopen64
0.0,1143247,13,87942.1,84818.0,82487,124944,11286.7,sleep
0.0,958737,24,39947.4,3304.0,1166,520183,121487.8,fopen
0.0,837463,1,837463.0,837463.0,837463,837463,0.0,pthread_join
0.0,643407,11,58491.5,2138.0,1069,351005,115936.7,fclose
0.0,426409,4,106602.3,105971.0,91248,123219,13649.6,pthread_create
0.0,332927,23,14475.1,12242.0,2333,43742,10241.2,pthread_cond_signal
0.0,217384,23,9451.5,9135.0,2333,18172,3768.5,mmap
0.0,129923,4,32480.8,26820.0,25557,50726,12203.9,write
0.0,121179,1,121179.0,121179.0,121179,121179,0.0,pthread_cond_wait
0.0,112221,15,7481.4,5538.0,1166,26529,6061.3,fgets
0.0,33720,8,4215.0,3158.0,1555,10690,3055.5,open
0.0,32457,3,10819.0,1166.0,1069,30222,16803.6,pthread_cond_broadcast
0.0,24001,6,4000.2,4226.5,1361,5928,1739.6,pipe2
0.0,19043,1,19043.0,19043.0,19043,19043,0.0,waitpid
0.0,3110,2,1555.0,1555.0,1263,1847,413.0,fwrite
0.0,3012,2,1506.0,1506.0,1360,1652,206.5,sigaction
0.0,1069,1,1069.0,1069.0,1069,1069,0.0,fcntl
