Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.8,4004807279,46,87061027.8,100149027.5,1282,100240440,30407520.9,poll
32.1,2483427222,2306,1076941.6,1170729.5,2121,2942678,485486.3,open64
13.2,1022455975,4476,228430.7,139997.0,1060,9259341,293371.8,read
1.7,134938619,1506,89600.7,5519.0,1084,7791514,463801.8,ioctl
0.5,39973805,5635,7093.8,6307.0,4084,206848,4852.7,munmap
0.3,22637963,5740,3943.9,3449.0,1945,145472,3133.6,mmap64
0.2,14574076,4,3643519.0,471495.5,135025,13496060,6570788.1,fread
0.0,2466911,7,352415.9,6612.0,2140,1228545,593379.8,fopen64
0.0,1493843,9,165982.6,105654.0,83183,455634,128651.5,pthread_create
0.0,1166791,13,89753.2,85190.0,82954,135954,14358.3,sleep
0.0,1096531,24,45688.8,3252.0,1282,547096,138266.9,fopen
0.0,937288,5,187457.6,166169.0,121817,350966,94327.1,sem_timedwait
0.0,839321,1,839321.0,839321.0,839321,839321,0.0,pthread_join
0.0,754066,50,15081.3,10461.5,1556,161881,22816.8,pthread_cond_signal
0.0,609999,10,60999.9,2154.0,1085,314698,111415.9,fclose
0.0,493187,25,19727.5,13601.0,2760,97178,22230.6,mmap
0.0,193962,1,193962.0,193962.0,193962,193962,0.0,pthread_cond_wait
0.0,184796,5,36959.2,29666.0,10644,58544,20569.0,write
0.0,111023,15,7401.5,5543.0,1167,26611,6077.6,fgets
0.0,73819,6,12303.2,8168.0,1084,29666,12868.7,pthread_cond_broadcast
0.0,56868,8,7108.5,3647.0,1676,31637,10060.0,open
0.0,26603,6,4433.8,4547.5,1478,7983,2306.2,pipe2
0.0,19936,1,19936.0,19936.0,19936,19936,0.0,waitpid
0.0,3548,2,1774.0,1774.0,1281,2267,697.2,fwrite
0.0,2742,2,1371.0,1371.0,1362,1380,12.7,sigaction
0.0,1380,1,1380.0,1380.0,1380,1380,0.0,fcntl
