Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.3,19245411237,9,2138379026.3,25571.0,8080,19242773012,6414147769.5,pthread_join
28.2,17854877067,24,743953211.1,1675152.5,58145,17821790712,3637564207.3,epoll_wait
16.3,10361674505,34,304755132.5,5991044.0,55418,1046942889,474265597.4,pthread_cond_wait
15.8,10048239876,48,209338330.8,43680.0,1235,10000090368,1443242422.2,futex
4.2,2659548199,2157,1232984.8,1228238.0,1422,5048838,619438.2,open64
3.8,2395192951,31,77264288.7,100123746.0,1141,100217282,38301395.8,poll
1.1,686234636,3045,225364.4,156635.0,1043,4237757,187373.6,read
0.2,107180063,716,149692.8,4040.0,1045,10228089,637180.2,ioctl
0.0,19469671,13,1497667.0,1002572.0,1140,3990703,1493898.4,pthread_mutex_lock
0.0,12327797,4,3081949.3,423663.5,123860,11356610,5519016.9,fread
0.0,6427394,1305,4925.2,4456.0,1328,65612,3590.1,munmap
0.0,3950422,1365,2894.1,2276.0,1611,70068,2543.4,mmap64
0.0,2018473,1,2018473.0,2018473.0,2018473,2018473,0.0,posix_spawnp
0.0,1804390,7,257770.0,6924.0,2561,897499,430929.7,fopen64
0.0,1750288,16,109393.0,107653.0,75285,148480,20754.4,pthread_create
0.0,1692402,5,338480.4,242016.0,83460,712931,282707.4,sem_timedwait
0.0,1443162,2,721581.0,721581.0,201141,1242021,736013.3,pthread_cond_timedwait
0.0,1383732,26,53220.5,2899.5,1331,931088,189422.0,fopen
0.0,1208881,52,23247.7,21910.5,3224,117111,19215.6,pthread_cond_signal
0.0,1070230,13,82325.4,82523.0,80720,84040,1061.5,sleep
0.0,804886,29,27754.7,25951.0,2471,44296,8944.4,write
0.0,615512,10,61551.2,3324.0,1518,340238,112949.7,fclose
0.0,525765,15,35051.0,3898.0,1140,345534,86845.4,pthread_cond_broadcast
0.0,326060,40,8151.5,6179.0,1043,44962,8340.7,mmap
0.0,227463,6,37910.5,2279.0,1328,111358,55871.1,flock
0.0,111322,15,7421.5,5407.0,1138,27282,6225.4,fgets
0.0,68580,28,2449.3,1328.0,1043,17263,3647.9,pthread_mutex_trylock
0.0,45854,2,22927.0,22927.0,22850,23004,108.9,waitpid
0.0,42111,8,5263.9,3517.5,1711,13213,4179.1,open
0.0,25359,6,4226.5,4746.0,1141,6178,2001.4,pipe2
0.0,8920,4,2230.0,2088.5,1803,2940,543.5,epoll_ctl
0.0,8727,3,2909.0,2182.0,1992,4553,1426.9,mprotect
0.0,8631,1,8631.0,8631.0,8631,8631,0.0,socketpair
0.0,3421,2,1710.5,1710.5,1330,2091,538.1,fwrite
0.0,2754,2,1377.0,1377.0,1331,1423,65.1,sigaction
0.0,1331,1,1331.0,1331.0,1331,1331,0.0,fcntl
