Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.5,107697306,23,4682491.6,984394.0,362175,22231841,6308672.7,cuLibraryLoadData
29.3,49779012,33,1508454.9,30707.0,9329,14884942,3387872.9,cudaLaunchKernel
2.2,3727866,9,414207.3,374030.0,5637,847569,222454.4,cudaMalloc
1.3,2139524,26,82289.4,583.0,292,427769,154429.2,cuLibraryGetKernel
0.8,1342685,38,35333.8,12292.5,10884,509009,84005.9,cudaMemcpyAsync
0.8,1286030,12,107169.2,1361.0,583,1017239,290844.4,cuKernelGetFunction
0.5,897226,44,20391.5,680.0,486,843391,126971.8,cudaStreamIsCapturing_v10000
0.4,756515,12,63042.9,29396.0,17103,382971,102207.8,cuLaunchKernel
0.4,740385,38,19483.8,19386.5,2818,40426,6409.4,cudaStreamSynchronize
0.4,680430,880,773.2,97.0,0,282782,13377.5,cuGetProcAddress_v2
0.2,326510,18,18139.4,292.0,194,319806,75287.0,cudaEventCreateWithFlags
0.2,311741,1,311741.0,311741.0,311741,311741,0.0,cudaFree
0.0,15841,33,480.0,389.0,194,972,225.4,cuKernelGetName
0.0,6705,4,1676.3,1652.0,1360,2041,290.4,cuInit
0.0,4761,8,595.1,534.5,388,1069,240.5,cudaMemsetAsync
0.0,2431,2,1215.5,1215.5,1167,1264,68.6,cudaStreamGetCaptureInfo_v3_v12030
0.0,2236,3,745.3,195.0,98,1943,1038.3,cuModuleGetLoadingMode
0.0,1943,3,647.7,292.0,291,1360,616.9,cudaGetDriverEntryPointByVersion_v12050
