Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.6,33773101,4,8443275.3,8443407.5,8440328,8445958,2776.1,"void at::native::<unnamed>::RowwiseMomentsCUDAKernel<double, double, (bool)0>(long, T2, const T1 *, T2 *, T2 *)"
10.2,6783860,6,1130643.3,928097.5,875670,1630963,353016.0,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x64_16x4_tn_align1>(T1::Params)
9.4,6283504,4,1570876.0,1560790.0,112725,3049199,1642536.5,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x32_16x5_tn_align1>(T1::Params)
8.8,5860661,2,2930330.5,2930330.5,2929941,2930720,550.8,void cutlass::Kernel2<cutlass_80_tensorop_d884gemm_32x32_16x5_nn_align1>(T1::Params)
4.1,2728848,2,1364424.0,1364424.0,1363678,1365170,1055.0,"void <unnamed>::softmax_warp_forward<double, double, double, (int)4, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
3.9,2619699,2,1309849.5,1309849.5,1278449,1341250,44407.0,ampere_dgemm_64x64_tn
3.3,2223733,2,1111866.5,1111866.5,1084261,1139472,39040.1,"void at::native::<unnamed>::transform_bias_rescale_qkv_kernel<double, double, (bool)1>(torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, T1, (unsigned long)2, torch::headeronly::RestrictPtrTraits, long>, at::detail::IndexBoundsCheck<(unsigned long)3, long>, T1, (unsigned long)3, torch::headeronly::RestrictPtrTraits, long>, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, T1, (unsigned long)0, torch::headeronly::RestrictPtrTraits, long>, at::detail::IndexBoundsCheck<(unsigned long)1, long>, T1, (unsigned long)1, torch::headeronly::RestrictPtrTraits, long>, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, T1, (unsigned long)4, torch::headeronly::RestrictPtrTraits, long>, at::detail::IndexBoundsCheck<(unsigned long)5, long>, T1, (unsigned long)5, torch::headeronly::RestrictPtrTraits, long>, T1)"
3.2,2119468,5,423893.6,531772.0,12131,538709,230636.9,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<double>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.6,1715227,4,428806.8,429483.5,417430,438830,8776.2,"void at::native::<unnamed>::LayerNormForwardCUDAKernel<double, double, (bool)0>(long, const T1 *, const T2 *, const T2 *, const T1 *, const T1 *, T1 *)"
2.4,1570619,2,785309.5,785309.5,759306,811313,36774.5,"void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, double, double, double, (bool)1, (bool)1, (int)1>(int, int, long, T3 *, cublasLtEpilogue_t, int, T4 *, long, void *, long, long, long, T5 *, long, int *)"
1.1,701358,4,175339.5,175075.0,12878,338330,186790.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,209679,2,104839.5,104839.5,40561,169118,90903.5,"void gemv2T_kernel_val<int, int, double, double, double, double, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<const double>, cublasGemvTensorStridedBatched<double>, double>>(T13, T6, T6)"
0.2,131356,1,131356.0,131356.0,131356,131356,0.0,triton_poi_fused_addmm_t_unsqueeze_view_0
0.0,26066,2,13033.0,13033.0,9892,16174,4442.0,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<double, double, double, at::native::binary_internal::MulFunctor<double>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,22178,1,22178.0,22178.0,22178,22178,0.0,triton_poi_fused_addmm_relu_0
0.0,15832,1,15832.0,15832.0,15832,15832,0.0,triton_poi_fused_addmm_relu_1
