Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,17582,1,17582.0,17582.0,17582,17582,0.0,"cudf::io::parquet::detail::<unnamed>::decode_page_headers_kernel(cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, cudf::io::parquet::detail::chunk_page_info *, unsigned int *)"
0.3,16225,1,16225.0,16225.0,16225,16225,0.0,"cudf::io::parquet::detail::<unnamed>::count_page_headers_kernel(cuda::std::__4::span<cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, unsigned int *)"
0.3,14415,1,14415.0,14415.0,14415,14415,0.0,"void cub::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::detail::radix_sort::policy_selector_from_types<int, int, unsigned long long>, (cub::SortOrder)0, int, int, unsigned long long, cub::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.3,13964,3,4654.7,5127.0,2926,5911,1547.5,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, int, cub::DeviceFor::__op_wrapper_t<int, cudf::binops::compiled::binary_op_device_dispatcher<cudf::binops::compiled::ops::BitwiseAnd>, cuda::__4::counting_iterator<int, long>>>(T2, T3)"
0.3,13722,4,3430.5,3468.0,2081,4705,1472.9,"void cudf::strings::detail::gather_chars_fn_char_parallel<(int)32, thrust::transform_iterator<cudf::detail::value_accessor<cudf::string_view>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>, cudf::detail::input_indexalator>(T2, char *, cudf::detail::input_offsetalator, T3, int)"
0.2,12726,1,12726.0,12726.0,12726,12726,0.0,cupy_true_divide__float64_float64_float64
0.2,11942,1,11942.0,11942.0,11942,11942,0.0,"void cuco::detail::open_addressing_ns::insert_if_n<(int)1, (int)128, cuda::__4::counting_iterator<int, long>, cuda::__4::constant_iterator<bool, long>, cuda::std::__4::identity, cuda::__4::atomic<int, (cuda::std::__4::thread_scope)1>, cuco::static_set_ref<int, (cuda::std::__4::thread_scope)1, cudf::detail::row::equality::device_row_comparator<(bool)0, cudf::nullate::DYNAMIC, cudf::detail::row::equality::nan_equal_physical_equality_comparator>, cuco::linear_probing<(int)1, const cudf::detail::row::hash::device_row_hasher<cudf::hashing::detail::MurmurHash3_x86_32, cudf::nullate::DYNAMIC>>, cuco::bucket_storage_ref<int, (int)1, cuco::valid_extent<int, (unsigned long)18446744073709551615>>, cuco::op::insert_tag>>(T3, long, T4, T5, T6 *, T7)"
0.2,7961,3,2653.7,2804.0,2232,2925,370.2,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::permutation_iterator<const double *, cudf::detail::input_indexalator>>, double *>, int, cuda::__4::always_true, cuda::std::__4::identity, double *, thrust::permutation_iterator<const double *, cudf::detail::input_indexalator>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,7418,3,2472.7,2262.0,2020,3136,587.1,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::permutation_iterator<const long *, cudf::detail::input_indexalator>>, long *>, int, cuda::__4::always_true, cuda::std::__4::identity, long *, thrust::permutation_iterator<const long *, cudf::detail::input_indexalator>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,6545,1,6545.0,6545.0,6545,6545,0.0,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, int, cub::DeviceFor::__op_wrapper_t<int, cudf::binops::compiled::binary_op_device_dispatcher<cudf::binops::compiled::ops::Greater>, cuda::__4::counting_iterator<int, long>>>(T2, T3)"
0.1,6454,1,6454.0,6454.0,6454,6454,0.0,"void cub::detail::reduce_by_key::DeviceReduceByKeyKernel<cub::detail::reduce_by_key::policy_selector_from_types<cuda::std::__4::plus<void>, int, int>, thrust::transform_iterator<cudf::io::parquet::detail::get_page_key, cuda::std::__4::__wrap_iter<const cudf::io::parquet::detail::PageInfo *>, thrust::use_default, thrust::use_default>, cuda::__4::discard_iterator, cuda::__4::transform_iterator<cudf::io::parquet::detail::flat_column_num_rows, cuda::std::__4::__wrap_iter<const cudf::io::parquet::detail::PageInfo *>>, int *, unsigned long *, cub::ReduceByKeyScanTileState<int, unsigned long long, (bool)1>, cuda::std::__4::equal_to<void>, cuda::std::__4::plus<void>, unsigned long long, int, cub::NullType>(T2, T3, T4, T5, T6, T7, int, T8, T9, T10, T12, cub::detail::vsmem_t)"
0.1,6363,2,3181.5,3181.5,2835,3528,490.0,"void cub::detail::select::DeviceSelectSweepKernel<cub::detail::select::policy_selector_from_hub<cub::detail::select::policy_hub<int, cub::NullType, int, (bool)0, (cub::SelectImpl)0>>, cuda::__4::counting_iterator<int, long>, cub::NullType *, int *, long *, cub::ScanTileState<int, (bool)1>, <unnamed>::retention_mask_filter<(bool)0>, cub::NullType, int, cub::detail::select::streaming_context_t<long, (bool)1>, (cub::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::detail::vsmem_t)"
0.1,6062,1,6062.0,6062.0,6062,6062,0.0,cupy_copy__float64_float64
0.1,5881,1,5881.0,5881.0,5881,5881,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<int, long>>, bool *>, int, cuda::__4::always_true, cudf::detail::ohe_equality_functor<const cudf::detail::row::equality::strong_index_comparator_adapter<cudf::detail::row::equality::device_row_comparator<(bool)0, cudf::nullate::DYNAMIC, cudf::detail::row::equality::nan_equal_physical_equality_comparator>>>, bool *, cuda::__4::counting_iterator<int, long>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,5188,1,5188.0,5188.0,5188,5188,0.0,"cudf::io::parquet::detail::<unnamed>::compute_page_string_sizes_kernel(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, cuda::std::__4::span<const unsigned long, (unsigned long)18446744073709551615>, unsigned long, unsigned long)"
0.1,5187,4,1296.8,1296.5,1267,1327,24.5,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<const bool *>, double *>, int, cuda::__4::always_true, cudf::detail::<unnamed>::unary_cast<double>, double *, const bool *>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,5006,1,5006.0,5006.0,5006,5006,0.0,cupy_subtract__float64_float64_float64
0.1,4946,1,4946.0,4946.0,4946,4946,0.0,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, int, cub::DeviceFor::__op_wrapper_t<int, cudf::binops::compiled::binary_op_device_dispatcher<cudf::binops::compiled::ops::Add>, cuda::__4::counting_iterator<int, long>>>(T2, T3)"
0.1,4825,1,4825.0,4825.0,4825,4825,0.0,"void cudf::io::parquet::detail::<unnamed>::compute_string_page_bounds_kernel<unsigned char>(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, unsigned long, unsigned long, bool)"
0.1,4795,1,4795.0,4795.0,4795,4795,0.0,"void cub::detail::find::find_kernel<cub::detail::find::policy_selector_from_types<cuda::std::__4::tuple<int, int>>, thrust::zip_iterator<cuda::std::__4::tuple<cuda::__4::counting_iterator<int, long>, cuda::__4::counting_iterator<int, long>>>, unsigned int, thrust::detail::tuple_binary_predicate<cudf::detail::row::lexicographic::less_comparator<cudf::detail::row::lexicographic::device_row_comparator<(bool)0, bool, cudf::detail::row::lexicographic::sorting_physical_element_comparator>>>>(T2, T3, T3 *, T4)"
0.1,4675,1,4675.0,4675.0,4675,4675,0.0,"void cub::detail::for_each::static_kernel<cub::detail::for_each::policy_selector, int, cub::DeviceFor::__op_wrapper_t<int, cudf::binops::compiled::binary_op_device_dispatcher<cudf::binops::compiled::ops::Mul>, cuda::__4::counting_iterator<int, long>>>(T2, T3)"
0.1,4313,1,4313.0,4313.0,4313,4313,0.0,"void cudf::io::parquet::detail::<unnamed>::preprocess_levels_kernel<unsigned char, (int)128>(cudf::io::parquet::detail::PageInfo *, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, cuda::std::__4::span<const bool, (unsigned long)18446744073709551615>, unsigned long, unsigned long)"
0.1,4131,4,1032.8,1040.5,995,1055,28.6,"void cudf::detail::copy_range_kernel<(int)256, cuda::__4::constant_iterator<long, long>, cuda::__4::constant_iterator<bool, long>, long, (bool)0>(T2, T3, cudf::mutable_column_device_view, int, int, int *)"
0.1,4011,1,4011.0,4011.0,4011,4011,0.0,"void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detail::batch_memcpy::policy_selector, cuda::__4::constant_iterator<cuda::__4::constant_iterator<unsigned int, long>, long>, thrust::transform_iterator<cuda::__4::__detail::__return_type_wrapper<unsigned int *, void cudf::detail::batched_memset<unsigned int>(cudf::host_span<const cuda::std::__4::span<T1, (unsigned long)18446744073709551615>, (unsigned long)18446744073709551615>, T1, rmm::cuda_stream_view)::[lambda(unsigned long) (instance 2)]>, cuda::__4::counting_iterator<unsigned long, __int128>, thrust::use_default, thrust::use_default>, thrust::transform_iterator<cuda::__4::__detail::__return_type_wrapper<unsigned long, void cudf::detail::batched_memset<unsigned int>(cudf::host_span<const cuda::std::__4::span<T1, (unsigned long)18446744073709551615>, (unsigned long)18446744073709551615>, T1, rmm::cuda_stream_view)::[lambda(unsigned long) (instance 1)]>, cuda::__4::counting_iterator<unsigned long, __int128>, thrust::use_default, thrust::use_default>, unsigned int, cuda::__4::constant_iterator<unsigned int, long> *, unsigned int **, unsigned long *, unsigned int *, unsigned int, cub::ScanTileState<unsigned int, (bool)1>, cub::ScanTileState<unsigned int, (bool)1>, (cub::CopyAlg)1>(T2, T3, T4, T5, T6, T7, T8, T9, T11, T12)"
0.1,3800,1,3800.0,3800.0,3800,3800,0.0,"void cub::detail::reduce_by_key::DeviceReduceByKeyKernel<cub::detail::reduce_by_key::policy_selector_from_types<cuda::std::__4::plus<void>, unsigned long, int>, thrust::transform_iterator<cudf::io::parquet::detail::get_page_key, cuda::std::__4::__wrap_iter<const cudf::io::parquet::detail::PageInfo *>, thrust::use_default, thrust::use_default>, int *, thrust::transform_iterator<cudf::io::parquet::detail::page_to_string_size, cudf::io::parquet::detail::PageInfo *, thrust::use_default, thrust::use_default>, unsigned long *, unsigned long *, cub::ReduceByKeyScanTileState<unsigned long, unsigned long long, (bool)0>, cuda::std::__4::equal_to<void>, cuda::std::__4::plus<void>, unsigned long long, unsigned long, cub::NullType>(T2, T3, T4, T5, T6, T7, int, T8, T9, T10, T12, cub::detail::vsmem_t)"
